Ctry,Country_full,fyear,lyear,fyear10,lyear10
AUS,Australia,1921,2011,1930,2000
AUT,Austria,1947,2010,1950,2010
BLR,Belarus,1959,2013,1960,2010
BEL,Belgium,1841,2012,1950,2010
BGR,Bulgaria,1947,2010,1950,2010
CAN,Canada,1921,2011,1930,2000
CZE,Czech Republic,1950,2011,1950,2010
DNK,Denmark,1835,2011,1850,2010
DEUTE,East(-ern) Germany,1956,2011,1960,2010
GBRTENW,England & Wales,1841,2011,1850,2010
EST,Estonia,1959,2011,1960,2010
FIN,Finland,1878,2012,1880,2000
FRATNP,France,1816,2013,1930,2010
HUN,Hungary,1950,2009,1950,2000
IRL,Ireland,1950,2009,1950,2000
ITA,Italy,1872,2009,1880,2000
JPN,Japan,1947,2012,1950,2010
LVA,Latvia,1959,2011,1960,2010
LTU,Lithuania,1959,2011,1960,2010
NLD,Netherlands,1850,2009,1850,2000
NZL_NP,New Zealand*,1948,2008,1950,2000
GBR_NIR,Northern Ireland,1922,2011,1930,2010
NOR,Norway,1846,2009,1850,2000
POL,Poland,1958,2009,1960,2000
PRT,Portugal,1940,2012,1940,2010
RUS,Russia,1959,2011,1960,2010
GBR_SCO,Scotland,1855,2011,1860,2010
SVK,Slovakia,1950,2009,1950,2000
ESP,Spain,1908,2012,1910,2010
SWE,Sweden,1840,2011,1850,2010
CHE,Switzerland,1876,2011,1880,2010
TWN,Taiwan,1970,2010,1970,2010
UKR,Ukraine,1959,2009,1960,2000
USA,United States of America,1933,2010,1940,2010
DEUTW,West(-ern) Germany,1956,2011,1960,2010
